Data.Documentation.10.5067/NIMBUS/NmIcEdg2,NmIcEdg2,Ice Edge Points from Nimbus Visible Imagery L2,version=1,source=final\savNC640830.edit.txt
longitude, latitude, File_name, EdgeType, ishift, jshift, (Analyst)
351.96,80.15,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
351.93,80.19,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
351.93,80.26,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
351.58,80.29,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
351.06,80.29,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.71,80.26,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
350.28,80.22,NmAVCS1H.60.02.1964.01.245.06.53.49.01.02.907.937.907.1040.34.hdf,4,126,27,ggc
348.25,82.36,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
348.98,82.35,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
349.33,82.31,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
349.27,82.11,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
349.11,82.1,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
349.0,82.1,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
349.81,82.1,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
350.24,82.11,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
350.58,82.06,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
350.9,81.95,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
351.14,81.8,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
351.48,81.67,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
352.21,81.55,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
352.31,81.55,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
353.31,81.62,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
353.48,81.58,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
352.86,81.37,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
352.86,81.33,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
357.89,81.18,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
357.84,81.17,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
357.74,81.12,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
357.52,81.0,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
357.43,80.94,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
356.86,80.83,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
356.52,80.76,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
356.11,80.72,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
355.65,80.67,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
355.06,80.66,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
354.58,80.66,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
354.05,80.64,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
353.4,80.64,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
347.96,82.05,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
348.11,81.89,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
348.24,81.74,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
348.84,81.65,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
349.33,81.61,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
349.83,81.58,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
350.3,81.58,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
350.71,81.62,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
351.12,81.73,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
351.11,81.81,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
350.83,81.99,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
350.24,82.03,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
349.43,82.05,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
348.65,82.06,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
348.24,82.06,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,3,123,-102,ggc
353.11,80.68,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
352.8,80.64,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
351.86,80.5,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
351.11,80.47,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
350.15,80.44,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
349.42,80.47,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
348.93,80.49,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
348.27,80.5,NmAVCS1H.43.02.1964.01.244.06.17.28.01.02.908.938.908.980.35.hdf,2,123,-102,ggc
338.89655,78.60224,NmAVCS1H.89.02.1964.01.247.09.43.41.01.02.924.954.924.1036.36.hdf,-1,0,0,ggc
337.76663,80.12271,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,-1,0,0,ggc
355.18,80.91,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
353.43,80.96,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
351.4,80.96,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
350.74,80.89,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
350.87,80.72,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
351.15,80.57,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
351.95,80.47,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
354.33,80.53,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
354.87,80.69,NmAVCS1H.119.03.1964.01.249.10.56.19.01.02.913.943.939.1288.70.hdf,4,0,0,ggc
